;UT;precision;pressure;duration;acceleration;rotation;magneticField
220;UT2;36.035092217831156;0.15294118;56000;7.992617247251126;0.1140767308979648;42.308483930531004
221;UT2;16.862888010091833;0.07450981;78000;7.664850167269117;0.07290332110999369;41.682299150838595
222;UT2;13.278037045798644;0.16470589;56000;7.534518375861603;0.27780043590391823;42.14428342017456
223;UT2;38.83543083039643;0.07450981;71000;7.5717412253343594;0.12093983758391029;42.29966570494381
224;UT2;51.90314798894669;0.227451;78000;7.423496361600594;0.25193786753968883;42.1174882026457
225;UT2;50.68268770823033;0.16470589;90000;6.989361126154589;0.4494150703690698;41.68998305948325
226;UT2;60.77430175772975;0.28627452;104000;7.8848439846017175;0.3325905188423701;42.03983416059107
227;UT2;69.93918060163132;0.21176472;143000;6.518807705615751;0.861363713630696;41.52606485690644
228;UT2;85.7267626164251;0.18823531;86000;6.630175294213718;0.47266062241394075;41.966969898957444
229;UT2;57.492224677512674;0.20784315;93000;7.06230105296113;0.4669170705306025;41.69654137335613
230;UT2;54.408086754819806;0.20392159;104000;7.079724885192184;0.36699734990934124;41.45074260492808
231;UT2;55.806659766809204;0.15686275;62000;7.8384649734668335;0.2997497884436195;41.70483147969789
232;UT2;60.477934269037306;0.13333334;69000;7.599236451038303;0.29593846738641594;41.45908186091438
233;UT2;79.69748494719015;0.1764706;81000;7.423669061978344;0.36025179843932414;41.79091371039882
234;UT2;35.68946357820472;0.121568635;82000;6.6167990025714065;0.1470798810800008;41.65801993614195
235;UT2;55.10219714864463;0.2627451;85000;7.596951247825641;0.34150739992661777;42.402231294473175
236;UT2;36.596069016904046;0.08235294;57000;7.776236542480574;0.10721832416653146;41.612516896962624
237;UT2;70.27900911679748;0.1764706;69000;7.046330788994704;0.17335510747615604;41.537774600356244
238;UT2;25.485086783646608;0.08627451;54000;7.590115207589938;0.18565875118307434;41.549528050869604
239;UT2;39.89077889041022;0.227451;79000;6.859108084901666;0.26987797651642226;42.28853641946006
240;UT2;57.70677143715454;0.13333334;104000;6.7509722663865945;0.5087293502482546;47.30622481502831
